Species	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
s__Turicimonas_muris	16302	5452	27058	8082	16464	25522	257084	2222	545080	65166	141382	305688
s__Clostridium_cocleatum	3592	5744	33304	1138	0	23006	191960	1738348	79240	21130	70210	728082
s__GGB28870_SGB41549	38250	8022	0	2954	0	0	0	0	0	0	0	0
s__GGB28849_SGB41516	5014	4392	25172	5766	9260	0	4384	196482	21612	9664	22470	27710
s__GGB28846_SGB41513	37950	19972	220076	42320	221868	59210	42360	2416634	53772	160964	82998	418790
s__GGB28792_SGB41445	3104	6732	62	0	0	0	0	0	0	0	0	0
s__GGB28945_SGB41650	9528	4894	187658	2032	6302	8076	6544	2548490	11716	3596	9100	61010
s__GGB42586_SGB59781	48186	78458	6782	32642	89722	34016	488	450	3074	0	1796	0
s__GGB33432_SGB65123	404926	90230	55658	113712	6368	44408	1384622	82380	3028220	1003260	942232	1516302
s__Ligilactobacillus_murinus	295740	158934	59432	842802	196560	1004020	154088	18557406	281234	96552	206754	3520554
s__GGB27885_SGB40319	15396	12034	28026	72452	1332	14852	49084	137382	75994	92408	53760	133102
s__Bacteroides_acidifaciens	84104	267098	350570	235422	21202	289322	1700998	8768122	845400	648714	867674	6767490
s__GGB28894_SGB41575	20848	24372	50260	392508	159490	100156	1046	606	26592	0	9220	6752
s__GGB31179_SGB44472	3956	10988	119430	24390	9342	31982	358834	1010268	496456	250704	197252	738438
