Species	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
s__GGB29468_SGB42247	0	0	0	0	0	0	5225844	0	0	0	0	0
s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	12570	0	3444	0	0
s__GGB28870_SGB41549	194	0	0	2134	0	5432	0	0	0	0	0	0
s__GGB28846_SGB41513	52118	67560	197214	34010	26498	32956	42360	2416634	53772	160964	82998	418790
s__Eubacterium_sp_14_2	0	0	0	1720	0	0	0	0	0	0	0	0
s__Colidextribacter_sp_OB_20	0	0	0	0	0	0	0	0	0	0	230	0
s__GGB31838_SGB45216	40300	23378	0	0	0	0	0	0	0	0	0	0
s__GGB28945_SGB41650	5034	4574	22110	3474	5330	39196	6544	2548490	11716	3596	9100	61010
s__GGB28382_SGB40962	0	0	0	0	0	0	0	0	0	6692	0	0
s__GGB42586_SGB59781	28502	7456	26874	65806	390	31600	488	450	3074	0	1796	0
s__GGB31440_SGB44770	287066	252	2586	4274	1388	81450	0	0	0	990	4154	0
s__Facklamia_tabacinasalis	0	0	0	0	0	0	0	0	12156	0	0	0
s__Staphylococcus_nepalensis	0	0	0	0	4388	12406	0	0	0	0	0	0
s__Jeotgalicoccus_halotolerans	0	0	0	0	0	0	0	1572	49240	0	0	0
s__GGB27866_SGB40300	337542	150012	394866	542998	394124	341450	231044	4242	246828	233638	140888	39558
s__Bacteroides_acidifaciens	193748	144876	226470	318690	1929530	639832	1700998	8768122	845400	648714	867674	6767490
s__bacterium_1xD42_87	0	0	0	2830	0	0	0	0	0	0	0	0
s__Corynebacterium_stationis	0	0	0	0	0	0	0	0	3658	0	0	0
